source,medium,colloid_um,velocity_mday,IS_mM,chemistry,condition_id,curve,x,x_type,value,C0_per_mL,column_role,workbook_tab,workbook_col
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,RP,0.01269,distance_m,9.087,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,RP,0.03148,distance_m,8.2009,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,RP,0.04662,distance_m,7.7236,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,RP,0.066,distance_m,7.1169,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,RP,0.08466,distance_m,6.7318,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,RP,0.10428,distance_m,6.4282,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,RP,0.12512,distance_m,6.1422,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,RP,0.14643,distance_m,5.7881,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,RP,0.16724,distance_m,5.4742,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,RP,0.18731,distance_m,4.9785,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,BTEC_ND,4.68862,PV,-5.301,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,BTEC_ND,5.52216,PV,-5.301,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,BTEC_ND,6.35569,PV,-5.301,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,BTEC_ND,7.18922,PV,-5.301,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,BTEC_ND,8.02275,PV,-5.301,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,BTEC_ND,9.06467,PV,-5.301,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,50.0,favorable,glass_Tong_0.2um_4mday_50mM_favor,BTEC_ND,9.8982,PV,-5.301,5570000.0,primary,Microspheres Glass Beads Tong,B
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,0.69461,PV,-4.3933,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,0.83353,PV,-4.1149,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,0.97246,PV,-1.571,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,1.04192,PV,-0.8458,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,1.14611,PV,-0.1089,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,1.35449,PV,-0.0977,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,1.56287,PV,-0.106,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,1.97964,PV,-0.0963,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,2.39641,PV,-0.0959,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,2.81317,PV,-0.1066,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,3.02156,PV,-0.094,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,3.22994,PV,-0.1104,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,3.54251,PV,-0.1029,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,3.7509,PV,-0.1055,11399999.999999998,primary,Microspheres Glass Beads Tong,E
Tong,glass,0.2,4.0,20.0,unfavorable,glass_Tong_0.2um_4mday_20mM_unfav,BTEC,3.82036,PV,-0.3265,11399999.999999998,primary,Microspheres Glass Beads Tong,E
